train_start,train_end,test_end,n_train,n_test,acc,precision,recall,f1,equity_start,equity_end,trades,wins,losses
2025-02-22,2025-08-21,2025-09-04,3811,295,0.6677966101694915,0.0625,0.05357142857142857,0.057692307692307696,5781.305078555897,5908.6052643832145,30,22,8
2025-03-08,2025-09-04,2025-09-18,3832,281,0.5231316725978647,0.24242424242424243,0.16,0.1927710843373494,5908.6052643832145,5906.804865351678,29,11,18
2025-03-22,2025-09-18,2025-10-02,3841,292,0.589041095890411,0.14,0.08333333333333333,0.1044776119402985,5906.804865351678,6002.065768171361,28,21,7
2025-04-05,2025-10-02,2025-10-16,3832,291,0.7250859106529209,0.34285714285714286,0.17391304347826086,0.23076923076923078,6002.065768171361,6161.349359483236,30,25,5
2025-04-19,2025-10-16,2025-10-30,3840,277,0.7906137184115524,0.5652173913043478,0.21311475409836064,0.30952380952380953,6161.349359483236,6319.558275360908,30,25,5
2025-05-03,2025-10-30,2025-11-13,3817,290,0.6620689655172414,0.2962962962962963,0.36923076923076925,0.3287671232876712,6319.558275360908,6465.58247090228,30,23,7
2025-05-17,2025-11-13,2025-11-27,3815,295,0.5322033898305085,0.1623931623931624,0.3220338983050847,0.2159090909090909,6465.58247090228,6504.771028387587,30,13,17
2025-05-31,2025-11-27,2025-12-11,3824,288,0.6215277777777778,0.20987654320987653,0.27419354838709675,0.23776223776223776,6504.771028387587,6594.121198846788,30,18,12
2025-06-14,2025-12-11,2025-12-25,3816,280,0.6607142857142857,0.3894736842105263,0.5,0.4378698224852071,6594.121198846788,6713.506343395692,30,20,10
2025-06-28,2025-12-25,2026-01-08,3832,283,0.6183745583038869,0.21052631578947367,0.041237113402061855,0.06896551724137931,6713.506343395692,6849.559103478537,30,23,7
2025-07-12,2026-01-08,2026-01-22,3827,276,0.7028985507246377,0.20930232558139536,0.15789473684210525,0.18,6849.559103478537,7012.447188392231,28,22,6
2025-07-26,2026-01-22,2026-02-05,3820,281,0.5729537366548043,0.042105263157894736,0.12121212121212122,0.0625,7012.447188392231,7187.12736095203,30,21,9
2025-08-09,2026-02-05,2026-02-19,3820,275,0.3781818181818182,0.27,0.6835443037974683,0.3870967741935484,7187.12736095203,7172.15278790157,30,8,22
2025-08-23,2026-02-19,2026-03-05,3805,302,0.4105960264900662,0.25,0.7361111111111112,0.3732394366197183,7172.15278790157,7215.075661419665,30,12,18
2025-09-06,2026-03-05,2026-03-19,3817,299,0.705685618729097,0.0,0.0,0.0,7215.075661419665,7437.737788816481,30,21,9
2025-09-20,2026-03-19,2026-04-02,3838,284,0.602112676056338,0.1935483870967742,0.32142857142857145,0.24161073825503357,7437.737788816481,7550.105780705091,30,16,14
2025-10-04,2026-04-02,2026-04-16,3831,287,0.6550522648083623,0.4166666666666667,0.05154639175257732,0.09174311926605505,7550.105780705091,7787.30866124334,30,23,7
2025-10-18,2026-04-16,2026-04-30,3832,299,0.705685618729097,0.0,0.0,0.0,7787.30866124334,7989.113265893241,30,22,8
2025-11-01,2026-04-30,2026-05-14,3854,283,0.6360424028268551,0.0,0.0,0.0,7989.113265893241,8133.761805418389,30,19,11
2025-11-15,2026-05-14,2026-05-28,3832,301,0.8039867109634552,0.18181818181818182,0.038461538461538464,0.06349206349206349,8133.761805418389,8362.707380334161,30,23,7
2025-11-29,2026-05-28,2026-06-11,3841,287,0.5923344947735192,0.22962962962962963,0.7045454545454546,0.3463687150837989,8362.707380334161,8479.28712766766,29,16,13
2025-12-13,2026-06-11,2026-06-25,3850,291,0.5360824742268041,0.3032258064516129,0.6351351351351351,0.4104803493449782,8479.28712766766,8617.76930607523,29,18,11
2025-12-27,2026-06-25,2026-07-09,3856,294,0.42857142857142855,0.18064516129032257,0.4057971014492754,0.25,8617.76930607523,8668.064587237051,30,13,17
2026-01-10,2026-07-09,2026-07-23,3866,285,0.6385964912280702,0.3333333333333333,0.2716049382716049,0.29931972789115646,8668.064587237051,8821.761740496277,30,20,10
2026-01-24,2026-07-23,2026-07-24,3872,23,0.782608695652174,1.0,0.2857142857142857,0.4444444444444444,8821.761740496277,8830.132752431853,4,2,2
