slice,feature,importance,f1
7,rsi_14,0.002299999999999991,0.15743440233236153
7,macd,-0.0008000000000000229,0.15743440233236153
7,macd_signal,0.0005999999999999561,0.15743440233236153
7,macd_diff,0.0034999999999999697,0.15743440233236153
7,atr,-4.4408920985006264e-17,0.15743440233236153
7,ret_tp_long,-0.0006000000000000005,0.15743440233236153
7,ret_sl_long,-0.0011000000000000343,0.15743440233236153
7,ret_tp_short,0.0007999999999999785,0.15743440233236153
7,ret_sl_short,0.00029999999999996696,0.15743440233236153
8,open,-0.0010000000000000009,0.018214936247723135
8,high,-0.001399999999999979,0.018214936247723135
8,low,-0.0009999999999999788,0.018214936247723135
8,close,-0.0015999999999999793,0.018214936247723135
8,volume,0.0006000000000000449,0.018214936247723135
8,ema_10,0.00030000000000001136,0.018214936247723135
8,ema_30,-0.00039999999999995595,0.018214936247723135
8,rsi_14,-0.0011999999999999567,0.018214936247723135
8,macd,-0.0018999999999999907,0.018214936247723135
8,macd_signal,-0.00019999999999997797,0.018214936247723135
8,macd_diff,-0.0011999999999999567,0.018214936247723135
8,atr,-0.001200000000000001,0.018214936247723135
8,ret_tp_long,-0.0043999999999999595,0.018214936247723135
8,ret_sl_long,-9.999999999996679e-05,0.018214936247723135
8,ret_tp_short,-0.00239999999999998,0.018214936247723135
8,ret_sl_short,-0.0013999999999999568,0.018214936247723135
9,open,-0.004400000000000026,0.022222222222222223
9,high,-0.0036000000000000476,0.022222222222222223
9,low,-0.004200000000000048,0.022222222222222223
9,close,-0.0028000000000000247,0.022222222222222223
9,volume,-0.0027000000000000357,0.022222222222222223
9,ema_10,-0.004300000000000037,0.022222222222222223
9,ema_30,-0.004300000000000015,0.022222222222222223
9,rsi_14,-0.0023000000000000355,0.022222222222222223
9,macd,-0.004300000000000037,0.022222222222222223
9,macd_signal,-0.005700000000000038,0.022222222222222223
9,macd_diff,-0.002100000000000035,0.022222222222222223
9,atr,-0.005100000000000038,0.022222222222222223
9,ret_tp_long,-0.005100000000000038,0.022222222222222223
9,ret_sl_long,-0.004100000000000037,0.022222222222222223
9,ret_tp_short,-0.005300000000000038,0.022222222222222223
9,ret_sl_short,-0.005200000000000049,0.022222222222222223
10,open,-0.01740000000000006,0.18206521739130435
10,high,-0.02020000000000004,0.18206521739130435
10,low,-0.013000000000000057,0.18206521739130435
10,close,-0.02000000000000004,0.18206521739130435
10,volume,0.0010999999999999678,0.18206521739130435
10,ema_10,-0.008600000000000052,0.18206521739130435
10,ema_30,0.00019999999999997797,0.18206521739130435
10,rsi_14,-0.001000000000000023,0.18206521739130435
10,macd,0.002499999999999991,0.18206521739130435
10,macd_signal,-0.0025000000000000356,0.18206521739130435
10,macd_diff,0.0029999999999999805,0.18206521739130435
10,atr,-0.006500000000000039,0.18206521739130435
10,ret_tp_long,-0.005600000000000049,0.18206521739130435
10,ret_sl_long,-0.00750000000000004,0.18206521739130435
10,ret_tp_short,0.001399999999999979,0.18206521739130435
10,ret_sl_short,-0.004000000000000026,0.18206521739130435
11,open,0.0,0.0
11,high,0.0,0.0
11,low,0.0,0.0
11,close,0.0,0.0
11,volume,0.0,0.0
11,ema_10,0.0,0.0
11,ema_30,0.0,0.0
11,rsi_14,0.0,0.0
11,macd,0.0,0.0
11,macd_signal,0.0,0.0
11,macd_diff,0.0,0.0
11,atr,0.0,0.0
11,ret_tp_long,0.0,0.0
11,ret_sl_long,0.0,0.0
11,ret_tp_short,0.0,0.0
11,ret_sl_short,0.0,0.0
12,open,-0.014599999999999991,0.16558861578266496
12,high,-0.005700000000000016,0.16558861578266496
12,low,-0.0033000000000000585,0.16558861578266496
12,close,-0.004200000000000026,0.16558861578266496
12,volume,0.00019999999999997797,0.16558861578266496
12,ema_10,-0.012799999999999988,0.16558861578266496
12,ema_30,-0.023799999999999998,0.16558861578266496
12,rsi_14,0.0021999999999999797,0.16558861578266496
12,macd,-0.001000000000000023,0.16558861578266496
12,macd_signal,0.0010000000000000009,0.16558861578266496
