reshuffle_final,reshuffle_mdd,bootstrap_final,bootstrap_mdd,block_final,block_mdd
63825.93077527122,-0.006854272246541004,64282.8289724891,-0.006950371897044394,49004.082099055595,-0.019614960353631528
63825.930775271016,-0.0059266243210431835,64135.03933231073,-0.006559978585579551,64385.31024594496,-0.013203698709409295
63825.93077527143,-0.007288791432307984,70659.6647083246,-0.006256314175553612,55761.213569680396,-0.020906685763559585
63825.93077527163,-0.008747441348784135,71691.66227749456,-0.00896391724377732,63989.5959366495,-0.01351629340294691
63825.93077527132,-0.007218502308106944,66826.81759299024,-0.007903257519462747,75241.80627667441,-0.013926114177445714
63825.930775271256,-0.008232891170418477,53060.14002290932,-0.009492166085823484,55753.952042063305,-0.02076594427096945
63825.93077527164,-0.006462216992625169,60389.338308844686,-0.008266996411149585,84798.11267971223,-0.013605889412424244
63825.93077527142,-0.0065350909896663145,61367.697771281615,-0.007307671055887699,59825.92704538361,-0.016900903846967963
63825.9307752715,-0.006228858204701981,66822.20153146508,-0.007634142746682615,57001.20021570563,-0.015769393293204037
63825.93077527149,-0.009326097561090263,52252.38456575983,-0.012675327429675476,63455.418771718556,-0.013064373795313444
63825.93077527111,-0.006707882733496318,67016.40636054588,-0.006494148980066172,60136.51807742921,-0.013801607288992157
63825.93077527067,-0.008962042211571597,61731.72561970111,-0.0071337579668659945,63392.123076017386,-0.015679942089469323
63825.93077527121,-0.006597313162150287,60712.91917943832,-0.006837088208102915,60682.05508713303,-0.012352900224346985
63825.9307752714,-0.006325558377381801,63938.36641701991,-0.00791296063738145,52687.2352531713,-0.010982546427871775
63825.93077527133,-0.007154495665360194,58451.83788079919,-0.007062408762442907,65074.60698723729,-0.012437361546591585
63825.93077527116,-0.0071304063035552145,62520.090455722755,-0.008584758488557664,75394.25685468075,-0.011257012639938613
63825.93077527151,-0.006781105140670318,69218.76786368224,-0.008984751841415561,83907.1464806603,-0.013601917330680835
63825.93077527113,-0.007640239670556714,70295.39470036761,-0.007198116240299091,55561.156955293525,-0.012155957794937389
63825.93077527126,-0.0071464085034465,77294.15526960266,-0.006396955683166006,71532.22296869151,-0.012991771401606678
63825.93077527107,-0.007417677797543876,55400.45145364958,-0.010279794434958966,53131.8286017443,-0.015333922339700212
63825.93077527151,-0.006902767264791554,56040.079759639055,-0.008031166708011184,72425.61501512639,-0.014295581881088149
63825.930775271205,-0.007445885304387501,64092.309108522444,-0.007661724723819763,71298.75333883379,-0.009830401371081154
63825.930775271365,-0.007959795427858296,61281.64914934622,-0.009076301822575794,50906.18510203013,-0.011896084664243634
63825.930775271554,-0.008470451442755156,69046.71856094085,-0.0062707186591407504,69692.06938837089,-0.009936957843893257
63825.93077527134,-0.008487661209978237,61961.48676351858,-0.008129273815277727,81043.65316343443,-0.012270476906339645
63825.93077527116,-0.0061153068327969295,60128.07790009224,-0.00782725481584623,71633.59462205831,-0.01432503975770949
63825.93077527186,-0.010298577640040163,56791.60600255459,-0.007233520025555551,50760.9869242866,-0.01677378242602756
63825.93077527098,-0.008191285600038012,63710.08147674088,-0.006785378383848295,59783.93171458138,-0.014482464878672219
63825.930775271285,-0.007298099460630536,63602.50597940647,-0.009076407904247796,61168.24701170584,-0.018267315742758528
63825.93077527117,-0.007353882302440828,67515.62239459652,-0.009934832941449923,55119.47931736919,-0.01584756730245218
63825.9307752716,-0.00878947120113871,66917.34183247655,-0.006455444762102136,56445.20972807871,-0.01715578061515699
63825.93077527147,-0.006950169231724201,67648.11823959895,-0.007187092201382361,75584.99064766229,-0.008781069417238996
63825.93077527136,-0.008719938755150092,64816.15208654929,-0.0055211891457294104,74329.29411817304,-0.011529945431077548
63825.930775271205,-0.007304253196931176,60340.479962387304,-0.007613216996425365,60152.912350508115,-0.013688118551609785
63825.93077527144,-0.006334429913495865,66548.00254604251,-0.00803234492221927,72995.58424555532,-0.013941765166956999
63825.93077527116,-0.008754985942968974,65486.16319732463,-0.006795055646090842,60768.651750564546,-0.012359849205276219
63825.930775271496,-0.007981208503264337,60910.452616383925,-0.00628051247320105,62142.58684834237,-0.0189823703924612
63825.93077527087,-0.007882150569467394,74345.78972003938,-0.007228531082383527,62326.63652738798,-0.010720216395599724
63825.93077527158,-0.007698455337043164,64937.504210131985,-0.007477936331102497,59809.584166958,-0.014527841174112988
63825.93077527157,-0.00900829584491325,55988.940041614616,-0.007571299566253575,72552.01085604684,-0.01339913979664209
63825.93077527148,-0.007363156480809097,52096.70361992244,-0.007197239807367417,64532.504801680305,-0.014199505298669424
63825.93077527124,-0.00823736774800421,64621.7522899081,-0.006892774121790679,50638.69981438998,-0.019920902638051907
63825.93077527111,-0.008802690820377101,53445.74776486309,-0.007050713508996775,49974.12588532127,-0.015151831681866179
63825.93077527163,-0.005646425666822497,63833.093985175,-0.007855558360719717,56940.13928365113,-0.01521420509826299
63825.93077527136,-0.009645639314029841,55593.076946348025,-0.007456193410693257,55134.21129708047,-0.01411929951856461
63825.930775271496,-0.007571047862229285,67203.48418445549,-0.008508635517347374,66176.55698797967,-0.012423398557322107
63825.93077527164,-0.006972749156941238,51477.26929553377,-0.008717927677067583,60833.27328898589,-0.013713922455009797
63825.93077527119,-0.0066485783476051274,65037.65841123399,-0.009724131781135847,57618.81499544174,-0.015587976537727699
63825.93077527111,-0.009653268273229876,63314.35791172849,-0.008466908863356548,48003.66226222285,-0.0201870202074661
63825.93077527159,-0.006558687284890619,69369.42180007632,-0.007683642012559,72465.53491617226,-0.01315611007430606
63825.93077527178,-0.008202629969807362,69662.51776087303,-0.006715488307295514,67980.88787138036,-0.01500223169467707
63825.93077527135,-0.006013222053002143,79908.07844849235,-0.007024656576950061,84958.19695123356,-0.011490851477887865
63825.93077527129,-0.007646998726811183,62934.86118233587,-0.0126353249250577,63354.782258934276,-0.0145514692631733
63825.930775271365,-0.0065771004528567545,61633.266340851755,-0.0079347562827069,61003.52829433104,-0.013601917330680391
63825.930775271496,-0.010277131143640483,60700.05328599539,-0.007253847888672338,63346.91531887394,-0.01635865985920426
63825.930775271,-0.00782255489461281,76453.17489693435,-0.00776962501179812,68313.73930042227,-0.01534937236347056
63825.93077527143,-0.009584008239593156,65316.71397813174,-0.006507703516513419,63982.099776574876,-0.014404150361604029
63825.93077527107,-0.009003313687316772,66521.05055308042,-0.00931108606599429,71531.85243631799,-0.015753037452924
63825.93077527086,-0.006841653237002254,66377.58888376191,-0.007219741307649907,55614.772775495614,-0.028640432290991225
63825.93077527128,-0.00569948450136426,49159.28395863572,-0.008711515460609442,55751.5884222989,-0.017373173206191472
63825.93077527119,-0.00843853737936795,58471.76583432476,-0.011854300130391127,71811.9620472333,-0.014530698097023453
63825.9307752711,-0.0067484044066591364,79656.56237938741,-0.005861115968218811,56531.14094090836,-0.013203698709409517
63825.93077527124,-0.006582805341316056,69955.35938125719,-0.010312291521911487,71009.24843518785,-0.016694653656455394
63825.93077527112,-0.006803295206145532,67027.40883524508,-0.006770279217967579,71138.12187418874,-0.019539251934972746
63825.930775271525,-0.00787280754444708,63717.46094638569,-0.008385251574495656,65158.52956653264,-0.014258300087191866
63825.93077527148,-0.00838471947359165,61717.040173939866,-0.00867264945219337,67088.71958600062,-0.012217035391473563
63825.93077527122,-0.006671881821091685,55155.029172398165,-0.00929051985079965,73706.26309055738,-0.012113800240857175
63825.93077527132,-0.005940438074380827,58800.88740187389,-0.0074232838607524165,59676.596146209115,-0.015892844242150095
63825.93077527128,-0.007794308606988598,64471.608535160885,-0.007764335061336447,56970.59220116198,-0.015108412657803716
63825.93077527155,-0.007332920494784845,68767.86089166878,-0.00590592047115146,66656.9921616238,-0.012392764094870445
